r2, X, Y, Z
0.000360, 0.000357, -0.002071, -0.018868
0.000247, 0.004914, 0.003061, -0.014619
0.000408, 0.007108, -0.000974, -0.018882
0.000397, 0.001705, -0.006568, -0.018743
0.000493, 0.011232, 0.001497, -0.019096
0.000135, 0.005375, -0.005914, -0.008458
0.000137, 0.000745, -0.002590, -0.011390
0.000212, 0.007906, 0.004029, -0.011544
0.000612, 0.013661, -0.000266, -0.020633
0.000232, 0.004241, -0.004743, -0.013853
0.000257, 0.002927, -0.001897, -0.015642
0.000474, 0.006171, 0.001579, -0.020823
0.000288, 0.008278, 0.000949, -0.014773
0.000362, 0.008134, 0.006261, -0.016018
0.000492, 0.006728, 0.001586, -0.021085
0.000243, 0.000599, 0.003333, -0.015227
0.000183, -0.000707, 0.001285, -0.013440
0.000194, 0.002287, 0.002051, -0.013590
0.000289, 0.002963, -0.002443, -0.016566
0.000309, -0.001591, 0.002814, -0.017272
0.000172, 0.005305, 0.000874, -0.011976
0.000188, 0.006884, 0.003610, -0.011310
0.000403, 0.014514, 0.004764, -0.013014
0.000185, 0.004983, -0.003255, -0.012225
0.000463, 0.005983, 0.003290, -0.020404
0.000251, 0.005738, -0.004130, -0.014190
0.000258, 0.004724, -0.002301, -0.015188
0.000171, -0.002009, 0.000734, -0.012915
0.000263, 0.003816, 0.002190, -0.015605
0.000081, 0.002342, -0.001650, -0.008557
0.000207, 0.008750, -0.005071, -0.010248
0.000445, 0.010732, 0.003968, -0.017726
0.000157, 0.003069, -0.001954, -0.011982
0.000259, 0.008859, 0.003763, -0.012894
0.000422, 0.012017, 0.012740, -0.010758
0.003367, 0.021242, -0.009366, -0.053182
0.000373, 0.009633, 0.009163, -0.013996
0.000180, 0.008030, -0.002950, -0.010321
0.000192, 0.004767, 0.003802, -0.012451
0.000311, 0.007564, -0.000441, -0.015925
0.000283, 0.000921, 0.003230, -0.016494
0.000108, 0.003760, -0.000111, -0.009667
0.000175, 0.002242, 0.002851, -0.012705
0.000358, 0.010611, 0.002179, -0.015516
0.000192, 0.004736, 0.003651, -0.012505
0.000222, 0.001077, -0.000943, -0.014838
0.000250, 0.008183, -0.001571, -0.013432
0.000127, -0.001869, 0.003111, -0.010658
0.000130, 0.000904, 0.001161, -0.011295
0.000203, 0.009108, -0.003848, -0.010263
0.000188, 0.001624, -0.001470, -0.013526
0.000282, 0.001311, -0.003714, -0.016322
0.000126, 0.003517, 0.002939, -0.010257
0.000274, 0.003145, 0.000044, -0.016248
0.000263, 0.001956, 0.000487, -0.016086
0.000335, 0.001147, -0.000845, -0.018240
0.000116, 0.003957, 0.001545, -0.009918
0.000234, 0.002557, -0.002033, -0.014944
0.000196, -0.000150, -0.003362, -0.013588
0.000242, 0.004977, 0.002492, -0.014544
0.000346, 0.002268, 0.000354, -0.018446
0.000222, 0.005324, -0.000721, -0.013883
0.000111, 0.006973, 0.001421, -0.007751
0.000146, 0.003563, 0.000584, -0.011522
0.000377, 0.009838, -0.001968, -0.016625
0.000175, 0.005574, -0.000686, -0.011975
0.000142, 0.001870, 0.000336, -0.011776
0.000209, 0.003518, 0.000766, -0.014013
0.000206, 0.005236, 0.000971, -0.013319
0.000328, 0.000468, -0.005103, -0.017380
0.000147, 0.005455, 0.002115, -0.010616
0.000263, 0.004034, -0.000488, -0.015708
0.000287, 0.003492, -0.000870, -0.016554
0.000353, 0.005863, 0.000419, -0.017832
0.000231, 0.006071, 0.001601, -0.013853
0.000199, 0.003315, -0.001047, -0.013671
0.000161, 0.003564, 0.002556, -0.011919
0.000154, 0.005428, -0.000234, -0.011143
0.000224, -0.004633, -0.003298, -0.013833
0.000180, 0.006911, 0.001811, -0.011352
0.000168, 0.008259, 0.002235, -0.009715
0.000288, 0.008918, -0.000753, -0.014405
0.000166, 0.007386, 0.004166, -0.009685
0.000205, 0.001156, 0.003367, -0.013872
0.000346, 0.012229, -0.002646, -0.013782
0.000166, 0.000433, 0.001025, -0.012849
0.000547, 0.005494, 0.010144, -0.020344
0.000280, 0.010288, -0.002300, -0.012988
0.000646, 0.009352, -0.023587, 0.001339
0.000615, 0.001950, 0.005246, -0.024152
0.000464, 0.014162, 0.003675, -0.015794
0.000183, -0.003944, -0.000643, -0.012923
0.000645, 0.000340, -0.021713, 0.013184
0.000252, 0.008018, 0.001215, -0.013660
0.000394, -0.000110, -0.000231, -0.019859
0.000265, 0.005715, -0.006930, -0.013570
0.000140, 0.006654, -0.001665, -0.009621
0.000228, 0.002301, -0.002240, -0.014765
0.000337, 0.001533, 0.006132, -0.017221
0.000235, 0.003533, 0.004938, -0.014084
0.000391, 0.007106, -0.003837, -0.018037
0.000144, 0.005595, 0.001477, -0.010522
0.000119, 0.005083, -0.001268, -0.009557
0.000152, 0.003390, -0.002811, -0.011502
0.000263, 0.002454, 0.001167, -0.015990
0.000104, 0.000068, -0.000860, -0.010140
0.000157, 0.006431, -0.002852, -0.010364
0.000688, 0.012219, -0.005217, -0.022625
0.000270, 0.007269, -0.001132, -0.014682
0.000223, 0.003688, -0.008567, -0.011670
0.000531, 0.018251, 0.009061, -0.010739
0.000671, -0.007642, -0.017177, -0.017819
0.000376, -0.010096, -0.005930, -0.015453
0.000226, 0.001240, 0.000214, -0.014997
0.000203, 0.005481, -0.004804, -0.012247
0.000322, 0.004068, 0.000330, -0.017482
0.000164, 0.002003, 0.000383, -0.012646
0.000373, 0.006695, -0.001761, -0.018017
0.000250, 0.008412, -0.003660, -0.012860
0.000265, 0.005230, -0.004511, -0.014733
0.000296, 0.004367, -0.000903, -0.016629
0.000143, 0.007726, -0.004937, -0.007693
0.000250, 0.003727, -0.000950, -0.015320
0.000251, 0.002935, -0.000005, -0.015578
0.000150, 0.004825, -0.002329, -0.011015
0.000239, 0.010543, 0.003768, -0.010662
0.000223, 0.000552, 0.004074, -0.014367
0.000239, 0.007961, 0.003201, -0.012873
0.000182, 0.006464, 0.002723, -0.011504
0.000216, 0.003770, -0.001565, -0.014122
0.000256, 0.010490, 0.001818, -0.011956
0.000102, -0.001002, 0.002261, -0.009807
0.000252, 0.005354, 0.003242, -0.014590
0.000139, 0.002286, 0.000321, -0.011578
0.000213, 0.008317, -0.000400, -0.011972
0.000170, 0.009133, -0.001367, -0.009219
0.000140, 0.005485, -0.000069, -0.010486
0.000109, 0.004029, 0.002227, -0.009375
