r2, X, Y, Z
0.002621, 0.004313, 0.037640, 0.034426
0.008495, -0.010879, 0.051143, 0.075903
0.001871, 0.025985, -0.003257, 0.034427
0.003272, -0.026666, 0.006408, 0.050202
0.016834, 0.026041, -0.067268, -0.107848
0.000158, 0.009000, 0.004647, 0.007432
0.000241, 0.000644, 0.010150, 0.011720
0.008469, 0.061560, 0.028230, 0.062311
0.006389, -0.020392, -0.028524, -0.071830
0.008827, -0.004750, 0.014926, 0.092639
0.006832, 0.055983, -0.008714, -0.060186
0.015516, 0.055209, 0.109688, 0.020897
0.012740, 0.006432, -0.036688, -0.106551
0.023123, -0.012616, -0.147035, -0.036664
0.003361, -0.040852, -0.015572, -0.038073
0.003612, 0.045701, -0.004263, 0.038798
0.004672, 0.031583, 0.019020, 0.057560
0.002943, 0.017406, -0.001665, -0.051354
0.000740, -0.019742, -0.002686, -0.018524
0.010585, -0.037371, 0.060967, 0.073972
0.006874, -0.047448, -0.053915, -0.041426
0.001060, -0.018338, -0.026287, -0.005694
0.046417, -0.009955, 0.109831, 0.185081
0.004368, -0.051481, 0.014360, -0.038876
0.083930, 0.008105, -0.161320, -0.240499
0.004293, -0.001828, 0.018389, 0.062858
0.001631, 0.022234, 0.027100, 0.020054
0.000121, 0.001476, 0.010557, -0.002621
0.006211, -0.012084, -0.067677, -0.038538
0.002827, 0.008091, 0.026906, -0.045138
0.008830, 0.075649, 0.002278, 0.055692
0.000137, -0.004714, 0.002104, 0.010506
0.002915, -0.000425, -0.022295, -0.049170
0.001304, -0.001658, -0.007528, 0.035273
0.005000, -0.006177, -0.024469, -0.066056
0.001352, 0.015203, 0.010414, 0.031818
0.000445, 0.014045, -0.015711, 0.001084
0.002316, 0.007201, -0.024404, -0.040845
0.010236, 0.046657, 0.033651, 0.083225
0.004443, 0.006183, -0.063337, -0.019824
0.000643, -0.008996, -0.003693, -0.023424
0.004422, -0.002687, -0.013158, -0.065124
0.002347, 0.001199, -0.044651, -0.018752
0.002968, 0.002185, 0.015787, 0.052094
0.002697, 0.007584, -0.031424, -0.040650
0.000971, -0.010625, 0.001008, -0.029280
0.001171, 0.000712, 0.003127, -0.034071
0.008322, -0.011558, -0.060742, -0.067075
0.007968, 0.011111, -0.026643, -0.084464
0.003261, -0.030551, -0.009970, -0.047208
0.007888, -0.009085, -0.044622, -0.076250
0.000104, 0.004677, 0.001566, -0.008909
0.016645, -0.035686, -0.061713, -0.107530
0.000620, 0.004485, -0.010472, 0.022143
0.012667, -0.011498, -0.037753, -0.105399
0.015634, 0.017618, -0.045520, -0.115116
0.000236, -0.004121, -0.003333, 0.014411
0.007228, -0.010655, -0.044960, -0.071363
0.000631, -0.003306, -0.008787, -0.023307
0.004660, 0.015140, 0.021301, 0.063061
0.006552, -0.003017, -0.039198, -0.070755
0.005052, -0.005741, 0.039140, 0.059048
0.000999, 0.015517, 0.004033, 0.027244
0.000824, 0.011002, -0.018487, -0.019008
0.006069, -0.010321, 0.006238, -0.076962
0.007403, -0.003350, -0.059714, -0.061852
0.002084, -0.007504, -0.044906, -0.003271
0.001475, 0.006242, 0.003325, -0.037752
0.000787, 0.013559, 0.002034, 0.024470
0.007323, -0.021834, 0.037656, 0.073676
0.003662, 0.056453, -0.009815, 0.019452
0.009634, 0.009223, -0.045949, -0.086243
0.005319, 0.026840, -0.010694, -0.066962
0.016166, 0.009032, -0.044414, -0.118794
0.014829, -0.024802, -0.055891, -0.105310
0.002023, -0.032453, 0.006201, -0.030520
0.013447, -0.020922, -0.036260, -0.108143
0.005923, 0.036114, 0.015098, 0.066263
0.000941, 0.012539, -0.013089, -0.024749
0.001575, -0.002541, -0.024877, -0.030820
0.003774, -0.031167, 0.009271, 0.052121
0.006926, -0.017322, -0.017023, -0.079600
0.001490, 0.012916, -0.033641, -0.013845
0.003471, 0.033084, -0.004986, -0.048489
0.006122, 0.034146, -0.032113, -0.062647
0.015035, 0.062441, 0.034208, 0.099831
0.000826, -0.018822, -0.017246, -0.013218
0.000186, -0.008017, -0.008740, 0.006745
0.002669, 0.019532, -0.010820, -0.046591
0.002016, -0.005940, 0.012570, 0.042696
0.004660, 0.002111, -0.024148, -0.063815
0.002269, 0.037238, -0.018888, -0.022930
0.000193, 0.011531, 0.006497, 0.004172
0.002972, 0.021323, -0.017828, -0.046903
0.000459, 0.004579, -0.009912, -0.018443
0.024681, -0.105156, -0.104188, -0.052610
0.000406, -0.012668, -0.010377, -0.011738, 0, Stopped
0.002559, -0.039416, 0.000183, 0.031714
0.001548, -0.028517, -0.012188, -0.024205
0.000203, 0.009894, -0.009033, -0.004894
0.000118, 0.003953, -0.010041, 0.001249
0.000910, 0.006429, -0.029445, -0.001240
0.000535, -0.016178, -0.013330, -0.009758
0.000392, -0.010382, -0.010640, -0.013075
0.000261, -0.007523, -0.011855, -0.008008
0.000926, 0.010388, -0.004205, -0.028284
0.000245, 0.002499, -0.001896, -0.015346
0.000081, -0.003552, -0.007105, 0.004174
0.000950, -0.002778, -0.018136, -0.024766
0.000393, 0.005814, -0.008467, -0.016953
0.000346, 0.000440, -0.009511, -0.015994
0.001083, 0.005111, -0.010259, -0.030851
0.000599, -0.007842, -0.015981, -0.016784
0.000406, 0.006317, -0.010338, -0.016094
0.000062, 0.003886, -0.004976, -0.004712
0.000495, 0.004719, -0.015769, -0.014969
0.000161, 0.008405, -0.007546, -0.005761
0.000438, -0.000920, -0.010098, -0.018310
0.000233, -0.000794, -0.009716, -0.011761
0.000786, 0.003880, -0.009743, -0.026003
0.000241, -0.002561, -0.009680, -0.011882
0.000299, -0.001912, -0.011437, -0.012817
0.000283, 0.009172, -0.006952, -0.012286
0.000142, -0.000546, -0.010415, -0.005741
0.000182, 0.004912, -0.007875, -0.009801
0.000263, -0.014487, -0.004430, -0.005776
0.013169, 0.069358, 0.054280, 0.073568
0.001391, -0.011480, -0.028406, -0.021276
0.000324, -0.004131, -0.013778, -0.010844
0.000299, 0.000635, -0.007286, -0.015662
0.000124, -0.001318, -0.007407, -0.008231
0.000260, 0.000891, -0.007422, -0.014289
0.000268, -0.007492, -0.010760, -0.009780
0.000589, -0.000345, -0.010610, -0.021832
0.000145, -0.000567, -0.009970, -0.006712
0.000113, 0.007010, -0.004625, -0.006484
0.000070, -0.001464, -0.006054, -0.005594
0.000286, 0.004390, -0.009347, -0.013394
0.000399, 0.001045, -0.013377, -0.014807
0.000278, 0.003314, -0.008610, -0.013905
0.000440, -0.007797, -0.007744, -0.017880
0.000238, 0.003304, -0.009974, -0.011309
0.000141, 0.001717, -0.001701, -0.011625
0.000288, -0.001512, -0.010183, -0.013490
0.000316, 0.001891, -0.002569, -0.017482
0.000382, -0.006863, -0.010731, -0.014838
0.000209, -0.001830, -0.012085, -0.007689
0.000257, 0.002656, -0.008982, -0.013021
0.000314, -0.001004, -0.009713, -0.014797
0.000345, -0.001048, -0.007657, -0.016885
0.000536, -0.008480, -0.010827, -0.018611
0.000088, 0.003311, -0.006028, -0.006389
0.000392, 0.002298, -0.008794, -0.017578
0.000069, -0.004840, -0.005525, 0.003919
0.000689, -0.017820, -0.013180, -0.014059
0.000496, -0.019938, -0.009276, -0.003535, 0, Accelerating
0.001220, -0.032534, 0.005172, -0.011600
0.000863, -0.016593, -0.010200, -0.021982
0.000446, -0.002550, -0.013494, 0.016054
0.002703, -0.033783, -0.028698, -0.027173
0.002051, -0.033053, -0.017391, -0.025612
0.000023, 0.002870, -0.003702, -0.001016
0.000616, 0.014373, -0.004890, 0.019637
0.000646, -0.009459, -0.009037, -0.021795
0.000937, 0.020943, 0.009197, 0.020330
0.001364, 0.035558, -0.006481, -0.007575
0.000201, -0.012268, -0.004975, 0.005117
0.002353, -0.015559, -0.027019, -0.037165
0.002075, -0.019839, -0.008745, -0.040061
